所在地,価格
南城市大里字仲間後原1010番5,75500
国頭村字奥辺野原145番,2240
国頭村辺土名西平207番,18400
国頭村字安田面玉屋原99番,2020
国頭村字辺土名西平90番,25900
大宜味村字大宜味大宜味187番,12600
大宜味村字田嘉里前田原506番外,5700
大宜味村字塩屋塩屋628番,14600
東村字有銘照久原933番,4500
東村字宮城宮城原118番,2900
東村字平良平良原492番,5400
今帰仁村字仲尾次当原39番,9020
今帰仁村字仲宗根仲宗根原182番1,16000
今帰仁村字仲宗根仲宗根原177番,25000
本部町字東東原23番,30300
本部町字健堅浜崎原1090番5,13100
本部町字崎本部崎本部原62番,11400
本部町字具志堅宇茂佐原187番,12200
本部町字大浜大崎原884番11,38500
本部町字東東原212番,38100
本部町字山川赤原64番4外,47200
恩納村字真栄田真栄田原36番外,37500
恩納村字名嘉真浜原105番,27200
恩納村字仲泊ナギチョウ原1411番72,54700
恩納村字恩納恩納2544番,34600
恩納村字仲泊仲泊原45番,36800
恩納村字前兼久前田原861番1,108000
恩納村字瀬良垣瀬良垣原697番6外,87800
宜野座村字松田高松原2592番1,13200
宜野座村漢那村内122番,17100
宜野座村宜野座中原347番,23500
宜野座村字宜野座牛原2番3,26000
金武町字金武京村渠307番,37500
金武町字金武志那田原10163番8,18200
金武町字屋嘉村内148番,36500
金武町字伊芸屋敷原62番2,23400
金武町字金武後村72番2,44500
伊江村字西江上赤嶺原427番外,6000
伊江村字東江前東江前245番,9540
伊江村字東江前阿良603番2外,15900
読谷村字古堅古堅原74番3,102000
読谷村字大木於須久堂原47番7,76800
読谷村字楚辺後原1279番47,79500
読谷村字比謝後原400番3,97200
読谷村字高志保苗代原1319番3外,77900
嘉手納町字屋良下仁原886番18,68000
嘉手納町字嘉手納仲原486番10外,95400
嘉手納町字嘉手納西原298番13外,101000
嘉手納町字水釜水釜原192番外,106000
北谷町字桑江見嘉作原350番66,133000
北谷町字砂辺大道原302番7,143000
北谷町字吉原栄口原716番15,130000
北谷町字吉原西宇地原1184番4,93200
北谷町桑江1丁目11番9,230000
北谷町北谷一丁目12番7,250000
北谷町字浜川千原239番1,122000
北中城村字熱田西原223番,65600
北中城村字喜舎場喜舎場原107番,98300
北中城村字安谷屋東村渠原43番,62000
北中城村渡口前原473番4,73800
中城村字南上原中坂田原840番4,151000
中城村字当間浜原669番,56700
中城村字和宇慶宇志真原791番,54000
西原町字我謝我謝8番123,108000
西原町字我謝前原186番,99800
西原町上原2丁目20番13,143000
西原町字安室安室原51番,86600
西原町字翁長坂田升641番外,180000
西原町字小那覇桃原264番2,135000
西原町字小那覇古茶川原1300番,62200
与那原町字東浜11番19,125000
与那原町字与那原湧当原3608番,77500
与那原町字与那原大見武原2692番,54000
与那原町字与那原新島原539番1,103000
南風原町字宮平宮平原16番,114000
南風原町字本部仕増原461番25,115000
南風原町字宮平内原430番8,84000
南風原町字喜屋武仲里原44番,113000
南風原町字与那覇御山武原418番,35000
南風原町字兼城下茂原604番外,190000
南風原町字津嘉山志良堂原1499番4外,190000
南風原町字津嘉山川下原1690番1,82000
渡嘉敷村字阿波連前兼久原144番,12700
渡嘉敷村字渡嘉敷東原176番,12900
座間味村字座間味座間味148番,14900
座間味村字阿嘉前原141番,12500
粟国村字浜浜原32番,1960
渡名喜村西1891番,1470
南大東村字在所281番12,5300
北大東村字中野281番,1530
伊平屋村字前泊前泊原263番,2830
伊平屋村字島尻島尻原12番,2060
伊是名村字伊是名伊是名808番外,2470
伊是名村字仲田仲田72番,3900
久米島町字宇江城後原790番,4920
久米島町字比嘉比嘉31番,12600
久米島町字仲泊仲泊466番,11700
久米島町字嘉手苅村屋敷50番,8000
久米島町字鳥島鳥島原298番,18500
八重瀬町字伊覇西大越地原67番1,95700
八重瀬町字具志頭伊良武須原374番,35200
八重瀬町字港川上港原107番,30200
八重瀬町字屋宜原524番14外,120000
八重瀬町字富盛島之前原159番,37100
多良間村字塩川吉川里122番,7010
多良間村字仲筋側嶺里421番1,5570
竹富町字西表干立953番2,8700
竹富町字小浜村内77番,6300
竹富町字南風見仲屋敷29番3,10800
竹富町字竹富東屋敷459番,7100
与那国町字与那国祖納19番,11600
与那国町字与那国久部良4022番21外,4800

